seed,N,tau_c,feature_mode,I_dec_bits_per_s,r2_test,mse_test,var_S_test,clipped,rate_mean_Hz,trial_count,trial_T_s,null_stimulus
0,2000,0.02,rate_lags,50.1614379296765,0.5011177512255576,0.44807300046141846,0.8981538260013435,False,4.217257820456006,6,6.0,False
1,2000,0.02,rate_lags,50.60471214141232,0.5041740250999611,0.5118152495292834,1.032247755136209,False,4.3869272528691665,6,6.0,False
0,2000,0.02,spikecount_lags,75.22685195898768,0.6475567303189365,0.3154761916448558,0.8951119762621291,False,4.217257820456006,6,6.0,False
1,2000,0.02,spikecount_lags,69.84003156114906,0.6202295999775149,0.3825551136357629,1.0073326241664255,False,4.3869272528691665,6,6.0,False
0,2000,0.1,rate_lags,44.44691850938355,0.459988652085763,0.36233701928156525,0.6709803797281878,False,4.504614705448868,6,6.0,False
1,2000,0.1,rate_lags,61.50229851235295,0.5736961381418155,0.46212900312118216,1.084036633180886,False,5.255381458696327,6,6.0,False
0,2000,0.1,spikecount_lags,40.31349168422883,0.42814148065000046,0.3648695219205073,0.6380415952090087,False,4.504614705448868,6,6.0,False
1,2000,0.1,spikecount_lags,56.359755582858654,0.5421950750175903,0.4952987513902902,1.081899132930611,False,5.255381458696327,6,6.0,False
0,2000,0.5,rate_lags,19.59079831862628,0.23783036685212222,0.48602084109596067,0.6376806683938032,False,1.7363923610103402,6,6.0,False
1,2000,0.5,rate_lags,73.94881838463047,0.641256739942881,0.32681452788823934,0.9109983776025375,False,2.1598047942448093,6,6.0,False
0,2000,0.5,spikecount_lags,12.027872201259974,0.15358179899833546,0.5437995365995634,0.6424714590909979,False,1.7363923610103402,6,6.0,False
1,2000,0.5,spikecount_lags,63.307973337415234,0.5842349095011006,0.3848316830558402,0.9255988341725463,False,2.1598047942448093,6,6.0,False
