theta0,thetaV,thetaa,thetaVV,thetaaa,thetaVa,I_lower,beta_E,beta_C,J,I_lower_mean,E_mean,L1_theta
-6.5,5.0,0.0,0.0,0.0,0.5,44.84147884351095,0.0,0.01,49.27549074709021,49.39549074709021,124.48044733698605,12.0
-6.5,5.0,0.0,0.0,0.0,0.5,44.84147884351095,0.0,0.03,49.03549074709021,49.39549074709021,124.48044733698605,12.0
-6.5,5.0,0.0,0.0,0.0,0.5,44.84147884351095,0.0,0.1,48.195490747090204,49.39549074709021,124.48044733698605,12.0
-4.611111111111111,1.75,0.0,0.0,0.0,0.125,45.746147220648034,0.3,0.01,57.464199555710714,65.3966861952476,21.225418428085902,6.486111111111111
-4.611111111111111,1.75,0.0,0.0,0.0,0.125,45.746147220648034,0.3,0.03,57.33447733348849,65.3966861952476,21.225418428085902,6.486111111111111
-4.611111111111111,1.75,0.0,0.0,0.0,0.125,45.746147220648034,0.3,0.1,56.88044955571072,65.3966861952476,21.225418428085902,6.486111111111111
-5.75,1.9375,-0.0625,0.0,0.0,0.125,44.329313121146605,1.0,0.01,46.410532143688705,60.09974552714234,8.610463383453636,7.875
-5.75,1.9375,-0.0625,0.0,0.0,0.125,44.329313121146605,1.0,0.03,46.253032143688706,60.09974552714234,8.610463383453636,7.875
-5.125,1.875,-0.125,0.0,0.0,0.125,44.329313121146605,1.0,0.1,45.13437121138977,58.75519431884279,7.89582310745302,7.25
-6.125,1.5,-4.25,0.0,0.0,1.0,22.415208374037253,3.0,0.01,26.506157830886444,50.79235436696436,3.052482178692639,12.875
-6.125,1.5,-4.25,0.0,0.0,1.0,22.415208374037253,3.0,0.03,26.248657830886444,50.79235436696436,3.052482178692639,12.875
-6.0,1.5,-4.25,0.0,0.0,1.0,22.415208374037253,3.0,0.1,25.350915928348535,51.125192081214486,3.1664253842886514,12.75
-6.0,1.5,-5.75,0.0,-0.125,1.0,22.341984164188556,10.0,0.01,-20.2732312042265,40.201425173334634,1.0330906377561135,14.375
-6.0,1.5,-5.75,0.0,-0.125,1.0,22.341984164188556,10.0,0.03,-20.5607312042265,40.201425173334634,1.0330906377561135,14.375
-6.0,1.5,-5.75,0.0,-0.125,1.0,22.341984164188556,10.0,0.1,-21.5669812042265,40.201425173334634,1.0330906377561135,14.375
