theta0,thetaV,thetaa,thetaVV,thetaaa,thetaVa,J,I_lower_mean,I_lower_std,I_upper_mean,I_upper_std,rate_mean,rate_std,E_mean,tau_c,beta_E,beta_C,dt_eff,cutoff,tau_ms,seed_count,trial_count
-5.5,5.0,0.0,0.0,0.0,0.5,48.48901546551535,48.81901546551535,2.2085182875851426,61.50530547559368,57.548514695617804,127.29223901633092,0.3556418590561896,127.29223901633092,0.02,0,0.03,0.01,50.0,20.0,3,20
-2.0,2.0,0.0,0.0,0.0,0.0,31.46114845343256,46.67481010028714,2.321814044696067,50.66791782506101,43.86760571274079,10.093661646854576,0.038452689928452376,10.093661646854576,0.02,1,0.03,0.01,50.0,20.0,3,20
-3.0,5.0,0.0,-2.0,-1.0,0.0,-51.072169552703095,1.0617377833411805,0.13228606585875421,1.985659667345523,0.1977092807270975,0.18039073360442748,0.0005128459560601639,0.18039073360442748,0.02,10,0.03,0.01,50.0,20.0,3,20
-5.5,5.0,0.0,0.0,0.0,0.5,39.4445455753474,39.774545575347396,2.8551850105182393,65.36155301768208,54.7294877484372,126.9881762001723,0.5785637484648554,126.9881762001723,0.05,0,0.03,0.01,50.0,50.0,3,20
-3.0,5.25,0.0,-1.0,0.0,0.0,20.339086176940814,32.12359515734497,2.906884033633003,49.28154775276878,39.9968057595141,6.507008980404159,0.028371337509706416,6.507008980404159,0.05,1,0.03,0.01,50.0,50.0,3,20
-3.5,5.0,0.0,-2.0,-0.5,0.0,-50.37466397001683,1.0624930837134772,0.12987990805058536,2.7596733401005458,1.5530459805162506,0.11071570537303105,0.0007127358823871853,0.11071570537303105,0.05,10,0.03,0.01,50.0,50.0,3,20
-4.0,5.0,-0.5,-1.0,0.0,0.5,34.54007247349512,34.87007247349512,0.661535518474868,84.54753681981067,45.633204256240305,44.0955542517436,0.3474752808989489,44.0955542517436,0.1,0,0.03,0.01,50.0,100.0,3,20
-3.25,5.25,0.0,-1.0,0.0,0.0,13.85756392968117,24.385627777492342,1.117784048367199,65.68184605359916,45.83696532315075,5.243063847811173,0.03421061340580589,5.243063847811173,0.1,1,0.03,0.01,50.0,100.0,3,20
-3.5,5.0,0.0,-2.0,-0.5,0.0,-50.3247426308165,1.1060765156442611,0.11310729895149807,8.71493219523526,9.247590930330782,0.11008191464607654,0.0008450015086560345,0.11008191464607654,0.1,10,0.03,0.01,50.0,100.0,3,20
-2.5,5.0,-1.5,-1.0,0.0,0.5,47.02798611743004,47.34298611743004,0.8738346951897822,63.53554403861824,50.7945262307029,7.69410105719114,0.2691366068897064,7.69410105719114,0.2,0,0.03,0.01,50.0,200.0,3,20
-2.0,2.0,-1.0,0.0,0.0,0.0,4.978901513939162,13.371915678596054,0.32391513603014505,47.384545215846195,38.11408623264453,3.2430141646568917,0.02753815467314144,3.2430141646568917,0.2,1,0.03,0.01,50.0,200.0,3,20
-3.5,5.0,0.0,-2.0,-0.5,0.0,-50.42678466165884,0.9949840298386228,0.3574086399666833,19.42581683236448,24.555207537916797,0.10917686914974688,0.0005842137666454179,0.10917686914974688,0.2,10,0.03,0.01,50.0,200.0,3,20
