theta0,thetaV,thetaa,thetaVV,thetaaa,thetaVa,J,I_lower_mean,E_mean,tau_c,beta_E,beta_C
-0.25,5.0,0.75,0.25,0.0,1.0,85.40996036621586,85.62746036621586,420.372370890171,0.02,0,0.03
0.375,5.5,0.0,0.5,-0.5,0.0,-2.974021886600979,9.261237366705096,7.029009253306076,0.02,1,0.03
-3.0,5.0,0.0,-2.5,-0.5,0.0,-51.297617256923374,0.0,0.09676172569233683,0.02,10,0.03
0.25,4.5,0.5,-0.25,0.0,0.75,84.8666107845094,85.0541107845094,370.6507167977957,0.05,0,0.03
0.0,5.0,0.0,0.5,-0.5,0.25,-3.382905207161537,9.35203918616311,7.547444393324646,0.05,1,0.03
-3.0,5.0,0.0,-2.5,-0.5,0.0,-51.29446119302676,0.0,0.09644611930267599,0.05,10,0.03
0.375,5.0,0.625,0.0,0.0,0.75,84.09373022030564,84.29623022030565,460.9874065225874,0.1,0,0.03
-1.75,5.0,-0.5,0.5,-0.5,0.5,-4.125550781005804,8.85357254836903,7.716623329374834,0.1,1,0.03
-3.0,5.0,0.0,-2.5,-0.5,0.0,-51.28820687056169,0.0011829506458172561,0.09593898212075147,0.1,10,0.03
-4.0,5.0,0.5,-1.0,0.0,0.5,82.69163552650394,83.02163552650394,537.2759126380854,0.2,0,0.03
-1.5,5.25,0.0,0.0,-0.25,0.5,-6.462861233520238,9.162957825909073,10.400819059429312,0.2,1,0.03
-3.0,5.0,0.0,-2.5,-0.5,0.0,-51.27743176575836,0.00011514716521248776,0.09475469129235675,0.2,10,0.03
